Date,Amount,Description,Category
09/27/2018,40.71,Valero,Gas & Fuel
09/28/2018,284.96,Credit Card Payment,Credit Card Payment
09/28/2018,13.36,Grocery Store,Groceries
09/29/2018,23.26,Greek Restaurant,Restaurants
09/29/2018,46.7,German Restaurant,Restaurants
10/01/2018,3,Starbucks,Coffee Shops
10/01/2018,128.12,Credit Card Payment,Credit Card Payment
10/01/2018,15.66,Grocery Store,Groceries
10/01/2018,13.13,Amazon,Shopping
10/02/2018,124.03,Credit Card Payment,Credit Card Payment
10/02/2018,1209.18,Mortgage Payment,Mortgage & Rent
10/04/2018,11.76,Netflix,Movies & DVDs
10/06/2018,27,American Tavern,Restaurants
10/08/2018,38.06,Shell,Gas & Fuel
10/08/2018,80.65,Hardware Store,Home Improvement
10/08/2018,31.2,Hardware Store,Home Improvement
10/09/2018,10.69,Spotify,Music
10/09/2018,19.98,Amazon,Shopping
10/09/2018,30,Gas Company,Utilities
10/10/2018,53.68,Grocery Store,Groceries
10/11/2018,89.4,Phone Company,Mobile Phone
10/16/2018,60,Power Company,Utilities
10/17/2018,35,City Water Charges,Utilities
10/18/2018,75,State Farm,Auto Insurance
10/18/2018,33.55,Grocery Store,Groceries
10/18/2018,45.24,Hardware Store,Home Improvement
10/18/2018,8,Brunch Restaurant,Restaurants
10/22/2018,353.83,Credit Card Payment,Credit Card Payment
10/22/2018,34.66,BP,Gas & Fuel
10/23/2018,7.57,Grocery Store,Groceries
10/25/2018,74.99,Internet Service Provider,Internet
10/25/2018,29.98,Amazon,Shopping
10/27/2018,25.4,American Tavern,Restaurants
10/28/2018,14.75,Seafood Restaurant,Food & Dining
10/28/2018,92.49,Grocery Store,Groceries
10/28/2018,54,Italian Restaurant,Restaurants
10/31/2018,5.64,Grocery Store,Groceries
11/01/2018,13.13,Amazon,Shopping
11/02/2018,262.51,Credit Card Payment,Credit Card Payment
11/02/2018,1209.18,Mortgage Payment,Mortgage & Rent
11/03/2018,23.66,Pizza Place,Fast Food
11/04/2018,11.76,Netflix,Movies & DVDs
11/05/2018,36.51,Shell,Gas & Fuel
11/06/2018,53.95,Amazon,Shopping
11/06/2018,30,Gas Company,Utilities
11/08/2018,5.64,Grocery Store,Groceries
11/09/2018,10.69,Spotify,Music
11/10/2018,14.19,Chick-Fil-A,Fast Food
11/10/2018,24.4,Food Truck,Groceries
11/12/2018,10.18,Grocery Store,Groceries
11/12/2018,22.33,American Tavern,Restaurants
11/13/2018,4.8,Grocery Store,Groceries
11/13/2018,37.43,Grocery Store,Groceries
11/13/2018,10.15,Grocery Store,Groceries
11/13/2018,89.54,Phone Company,Mobile Phone
11/14/2018,60,Power Company,Utilities
11/16/2018,35,City Water Charges,Utilities
11/17/2018,15.47,Hardware Store,Home Improvement
11/17/2018,6.4,Hardware Store,Home Improvement
11/17/2018,23.26,Greek Restaurant,Restaurants
11/19/2018,29.15,QuikTrip,Gas & Fuel
11/19/2018,10.02,Hardware Store,Home Improvement
11/20/2018,75,State Farm,Auto Insurance
11/21/2018,5.64,Grocery Store,Groceries
11/21/2018,37.41,Hardware Store,Home Improvement
11/26/2018,74.99,Internet Service Provider,Internet
11/27/2018,17,Movie Theater,Movies & DVDs
11/27/2018,28.4,American Tavern,Restaurants
11/30/2018,582.99,Credit Card Payment,Credit Card Payment
11/30/2018,6.27,Grocery Store,Groceries
12/01/2018,5.64,Grocery Store,Groceries
12/01/2018,8,Brunch Restaurant,Restaurants
12/01/2018,13.13,Amazon,Shopping
12/03/2018,30.03,BP,Gas & Fuel
12/03/2018,148.15,Grocery Store,Groceries
12/03/2018,1209.18,Mortgage Payment,Mortgage & Rent
12/04/2018,3,Starbucks,Coffee Shops
12/04/2018,20.65,Latin Restaurant,Fast Food
12/04/2018,11.76,Netflix,Movies & DVDs
12/06/2018,21.38,Grocery Store,Groceries
12/06/2018,13.48,Grocery Store,Groceries
12/06/2018,40,Gas Company,Utilities
12/07/2018,30,Barbershop,Haircut
12/08/2018,12.64,Grocery Store,Groceries
12/09/2018,10.69,Spotify,Music
12/11/2018,10.29,Brunch Restaurant,Restaurants
12/12/2018,89.54,Phone Company,Mobile Phone
12/13/2018,27,Thai Restaurant,Restaurants
12/14/2018,21.39,Grocery Store,Groceries
12/14/2018,17.1,Hardware Store,Home Improvement
12/14/2018,60,Power Company,Utilities
12/17/2018,63,American Tavern,Food & Dining
12/17/2018,20.01,BP,Gas & Fuel
12/17/2018,35,City Water Charges,Utilities
12/18/2018,3,Starbucks,Coffee Shops
12/18/2018,311.02,Credit Card Payment,Credit Card Payment
12/18/2018,56.52,Fancy Restaurant,Restaurants
12/18/2018,49.99,Amazon,Shopping
12/18/2018,41.72,Amazon,Shopping
12/18/2018,24.3,Amazon,Shopping
12/19/2018,75,State Farm,Auto Insurance
12/19/2018,43.01,Amazon,Shopping
12/20/2018,30.38,Shell,Gas & Fuel
12/21/2018,464.03,Credit Card Payment,Credit Card Payment
12/22/2018,21.38,New York Deli,Fast Food
12/22/2018,22.14,Hardware Store,Home Improvement
12/23/2018,28,Hardware Store,Home Improvement
12/24/2018,38.4,Hardware Store,Home Improvement
12/26/2018,56.07,Chick-Fil-A,Fast Food
12/26/2018,32.47,Shell,Gas & Fuel
12/26/2018,7.48,Shell,Gas & Fuel
12/26/2018,75.99,Internet Service Provider,Internet
12/26/2018,44.99,Amazon,Shopping
12/29/2018,55.04,Grocery Store,Groceries
01/01/2019,13.09,Amazon,Shopping
01/02/2019,499.6,Credit Card Payment,Credit Card Payment
01/03/2019,1100,Mortgage Payment,Mortgage & Rent
01/03/2019,42.1,Amazon,Shopping
01/05/2019,23.49,American Tavern,Restaurants
01/08/2019,45,Gas Company,Utilities
01/09/2019,491.45,Credit Card Payment,Credit Card Payment
01/09/2019,281.84,Credit Card Payment,Credit Card Payment
01/09/2019,10.69,Spotify,Music
01/10/2019,58.79,Grocery Store,Groceries
01/10/2019,30,Barbershop,Haircut
01/10/2019,65,Phone Company,Mobile Phone
01/14/2019,28.92,Shell,Gas & Fuel
01/15/2019,6.06,Grocery Store,Groceries
01/16/2019,35,City Water Charges,Utilities
01/16/2019,60,Power Company,Utilities
01/18/2019,75,State Farm,Auto Insurance
01/22/2019,277.99,Credit Card Payment,Credit Card Payment
01/24/2019,21.06,Grocery Store,Groceries
01/24/2019,11.7,Amazon,Shopping
01/24/2019,4.21,Amazon,Shopping
01/25/2019,75,Internet Service Provider,Internet
01/31/2019,1900,Credit Card Payment,Credit Card Payment
01/31/2019,31.32,Shell,Gas & Fuel
02/01/2019,9.47,Roadside Diner,Restaurants
02/01/2019,13.09,Amazon,Shopping
02/04/2019,86.97,Hardware Store,Home Improvement
02/04/2019,11.76,Netflix,Television
02/05/2019,1100,Mortgage Payment,Mortgage & Rent
02/07/2019,65,Gas Company,Utilities
02/08/2019,3,Starbucks,Coffee Shops
02/08/2019,27.47,Thai Restaurant,Restaurants
02/09/2019,10.69,Spotify,Music
02/11/2019,3,Starbucks,Coffee Shops
02/11/2019,133.95,Credit Card Payment,Credit Card Payment
02/11/2019,24.01,BP,Gas & Fuel
02/12/2019,30.54,Grocery Store,Groceries
02/12/2019,65,Phone Company,Mobile Phone
02/13/2019,8.21,Grocery Store,Groceries
02/15/2019,207.47,Credit Card Payment,Credit Card Payment
